직원ID,이름,성별,직무,직급,입사연도,근속년수,학력,교육이수_건수,역량_사업관리,역량_고객관리,역량_품질생산관리,역량_AI/SW,역량_해외영업,역량_시험평가,역량_제어,역량_HR_AX,역량_열관리개발,역량_재무회계,역량_성능HW,역량평균,역량총점
E0001,안현우,남,사업지표·실적관리,대리,2018,8,학사,7,0.0,0.0,0.0,0.2,8.2,0.7,0.7,0.9,0.9,0.0,0.0,1.05,11.6
E0002,송정우,남,사업지표·실적관리,대리,2017,9,학사,8,0.4,0.6,0.0,0.4,7.6,0.4,0.6,0.7,0.3,0.3,0.4,1.06,11.7
E0003,조윤서,여,사업지표·실적관리,대리,2018,8,학사,2,0.2,0.0,0.0,0.0,7.1,0.2,0.0,0.0,0.2,0.2,0.3,0.75,8.2
E0004,조우진,남,사업지표·실적관리,대리,2021,5,학사,1,0.0,0.3,0.0,0.4,5.8,0.0,0.3,0.0,0.2,0.1,0.0,0.65,7.1
E0005,홍하윤,남,사업지표·실적관리,차장,2009,17,석사,5,0.0,0.0,0.3,0.0,10.5,0.1,0.1,0.4,0.8,1.2,0.2,1.24,13.6
E0006,한우진,남,사업지표·실적관리,대리,2025,1,학사,2,0.4,0.0,0.0,0.0,5.8,0.9,0.0,0.3,0.2,0.4,0.2,0.75,8.2
E0007,송하은,남,사업지표·실적관리,대리,2020,6,석사,4,0.0,0.7,0.7,0.0,7.1,0.6,0.0,0.0,0.3,0.0,0.5,0.9,9.9
E0008,류윤서,남,사업지표·실적관리,사원,2023,3,학사,2,0.0,0.0,0.4,0.2,6.4,0.0,0.0,0.4,0.1,0.1,0.0,0.69,7.6
E0009,신지우,남,사업전략수립,사원,2023,3,박사,4,1.4,0.0,0.0,0.0,5.7,0.0,0.9,0.0,0.0,0.7,1.2,0.9,9.9
E0010,전윤서,여,사업전략수립,사원,2025,1,학사,1,0.0,0.1,0.0,0.2,6.0,0.1,0.2,0.0,0.0,0.0,0.1,0.61,6.7
E0011,류지우,남,사업전략수립,사원,2017,9,학사,3,0.0,0.0,0.6,0.0,6.7,0.5,0.0,0.1,0.6,0.0,0.0,0.77,8.5
E0012,최민재,남,사업전략수립,과장,2014,12,학사,5,0.2,0.8,0.4,0.0,8.6,0.4,0.0,0.3,0.0,0.5,0.3,1.05,11.5
E0013,박유준,남,사업전략수립,과장,2013,13,석사,10,0.6,0.2,0.4,0.3,10.8,0.9,0.6,0.6,0.1,0.2,0.0,1.34,14.7
E0014,신소율,남,사업전략수립,사원,2023,3,석사,6,0.0,0.0,0.0,0.2,6.6,0.2,0.1,0.0,0.0,0.5,0.0,0.69,7.6
E0015,송예린,여,사업전략수립,차장,2007,19,박사,5,0.4,0.0,0.0,0.0,10.5,0.0,0.3,0.0,0.1,0.5,0.6,1.13,12.4
